"","Name","number.bets","percentage.win","profit.loss","N.purch","rank.profit","rank.npurc","puntaje_total","rank_total"
"1","Mr Molina 2",57,0.368421052631579,0.912581130836925,573,0.935555555555556,0.984444444444444,1.92,100
"2","Sebastian Chip 3",55,0.327272727272727,0.816932805606444,581,0.924444444444444,0.988888888888889,1.91333333333333,100
"3","Sebastian Posada 2",55,0.490909090909091,2.00493144206901,549,0.975555555555556,0.975555555555556,1.95111111111111,100
"4","Andrea Jaramillo 3",50,0.42,4.32993730631715,502,1,0.831111111111111,1.83111111111111,99
"5","Andres Jaramillo 3",51,0.313725490196078,0.753428715317954,528,0.922222222222222,0.924444444444444,1.84666666666667,99
"6","Manuela Jaramillo 1",55,0.436363636363636,2.28373899847308,513,0.984444444444444,0.871111111111111,1.85555555555556,99
"7","Manuela Posada 1",53,0.339622641509434,0.559153425691997,538,0.884444444444444,0.953333333333333,1.83777777777778,99
"8","Andres Graciano 2",48,0.270833333333333,0.592006405921234,503,0.891111111111111,0.833333333333333,1.72444444444444,98
"9","Andres Graciano 5",54,0.388888888888889,0.326198164439826,541,0.824444444444444,0.96,1.78444444444444,98
"10","Sebastian Graciano 5",50,0.4,0.398606668061812,530,0.84,0.935555555555556,1.77555555555556,98
"11","Sebastian Hassan 4",48,0.333333333333333,1.30761177388452,496,0.957777777777778,0.8,1.75777777777778,98
"12","Sebastian Posada 4",50,0.36,0.751945510959056,512,0.92,0.864444444444444,1.78444444444444,98
"13","Andrea Molina 4",54,0.37037037037037,0.628150599183799,500,0.897777777777778,0.815555555555556,1.71333333333333,97
"14","Juan Londono 5",52,0.307692307692308,0.066518177154788,537,0.742222222222222,0.951111111111111,1.69333333333333,97
"15","Mateo Graciano 4",50,0.34,0.434453666700614,510,0.855555555555556,0.857777777777778,1.71333333333333,97
"16","Mr Chip 5",51,0.313725490196078,0.866897573437123,491,0.933333333333333,0.755555555555556,1.68888888888889,97
"17","Andrea Posada 1",48,0.333333333333333,0.209697415979594,508,0.795555555555556,0.853333333333333,1.64888888888889,96
"18","Andres Graciano 1",50,0.4,0.162595901514024,513,0.784444444444444,0.871111111111111,1.65555555555556,96
"19","Andres Jaramillo 4",53,0.320754716981132,0.708948891116189,490,0.913333333333333,0.753333333333333,1.66666666666667,96
"20","Sebastian Jaramillo 4",45,0.422222222222222,3.69619751084272,477,0.997777777777778,0.677777777777778,1.67555555555556,96
"21","Sebastian Uribe 3",51,0.274509803921569,0.0387958520881029,533,0.708888888888889,0.94,1.64888888888889,96
"22","Alejandro Perez 4",50,0.38,0.291025237469641,502,0.813333333333333,0.831111111111111,1.64444444444444,95
"23","Andres Jaramillo 2",54,0.333333333333333,-0.0724018046730861,578,0.655555555555556,0.986666666666667,1.64222222222222,95
"24","Juan Jaramillo 3",50,0.32,0.359216598041332,499,0.828888888888889,0.811111111111111,1.64,95
"25","Sebastian Molina 3",50,0.26,0.088398692484027,515,0.755555555555556,0.882222222222222,1.63777777777778,95
"26","Andrea Jaramillo 1",58,0.293103448275862,-0.0993117789868907,597,0.624444444444444,0.995555555555556,1.62,94
"27","Andres Uribe 3",48,0.354166666666667,0.309515049000771,496,0.817777777777778,0.8,1.61777777777778,94
"28","Juan Posada 1",56,0.357142857142857,-0.073382136542451,541,0.653333333333333,0.96,1.61333333333333,94
"29","Mr Chip 3",50,0.52,1.86397446489738,475,0.966666666666667,0.668888888888889,1.63555555555556,94
"30","Sebastian Jaramillo 2",47,0.361702127659574,2.00418048429709,470,0.973333333333333,0.635555555555556,1.60888888888889,94
"31","Andrea Chip 5",44,0.431818181818182,3.15888835157025,467,0.993333333333333,0.615555555555556,1.60888888888889,93
"32","Fernando Chip 2",56,0.25,-0.0936147465632562,545,0.631111111111111,0.968888888888889,1.6,93
"33","Manuela Posada 3",46,0.41304347826087,0.229415974934214,498,0.802222222222222,0.804444444444444,1.60666666666667,93
"34","Sebastian Molina 1",48,0.3125,2.059088365596,469,0.977777777777778,0.624444444444444,1.60222222222222,93
"35","Andrea Londono 1",47,0.297872340425532,0.574029242051394,483,0.886666666666667,0.704444444444444,1.59111111111111,92
"36","Fernando Ramirez 3",47,0.276595744680851,0.0188210336056371,521,0.695555555555556,0.902222222222222,1.59777777777778,92
"37","Juan Jaramillo 4",49,0.428571428571429,0.475231495727966,486,0.86,0.733333333333333,1.59333333333333,92
"38","Manuela Graciano 3",51,0.294117647058824,0.399097886778447,488,0.842222222222222,0.74,1.58222222222222,92
